Município;Propriedade;Entidade Gestora;Situação;Convênio;Vigência
Abadiânia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Acreúna;Estado;GEPIT/SGG;OPERANDO;SIM;30/08/2022
Adelândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Água Fria;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Água Limpa;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Alexânia;Estado;GEPIT/SGG;OPERANDO;SIM;02/04/2024
Aloândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Alto Horizonte;Estado;GEPIT/SGG;OPERANDO;SIM;10/08/2022
Alto Paraíso de Goiás;Estado;GEPIT/SGG;OPERANDO;VENCIDO;20/05/2022
Alvorada do Norte;Estado;GEPIT/SGG;OPERANDO;VENCIDO;16/06/2022
Americano do Brasil;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Amorinópolis;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Anápolis;Município;SINART;OPERANDO;SIM;01/04/2025
Anicuns;Estado;Prefeitura;OPERANDO;NÃO;04/01/2032
Aparecida de Goiânia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Aparecida do Rio Doce;Município;Prefeitura;OPERANDO;NÃO;–
Aporé;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Araçu;Estado;GEPIT/SGG;NÃO OPERA;VENCIDO;07/06/2022
Aragarças;Estado;GEPIT/SGG;OPERANDO;SIM;17/07/2023
Aragoiânia;Estado;GEPIT/SGG;NÃO OPERA;SIM;MODIF.
Araguapaz;Estado;GEPIT/SGG;OPERANDO;SIM;12/06/2023
Arenópolis;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Aruanã;Município;Prefeitura;OPERANDO;NÃO;–
Aurilândia;Estado;GEPIT/SGG;NÃO OPERA;NÃO;MODIF.
Baliza;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Barro Alto;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Bom Jardim de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Bom Jesus de Goiás;Município;Prefeitura;OPERANDO;–;–
Bonfinópolis;Estado;Prefeitura (não administra);NÃO OPERA;SIM;07/07/2043
Britânia;Estado;Prefeitura;OPERANDO;SIM;INDETERM
Buriti Alegre;Estado;GEPIT/SGG;OPERANDO;–;–
Cabeceiras;Estado;GEPIT/SGG;OPERANDO;VENCIDO;16/06/2022
Cachoeira Alta;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Cachoeira Dourada;Município;Prefeitura;OPERANDO;–;–
Caçu;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Caiapônia;Estado;GEPIT/SGG;OPERANDO;SIM;04/07/2023
Caldas Novas;Município;Prefeitura;OPERANDO;–;–
Campestre de Goiás;Estado;GEPIT/SGG;OPERANDO;SIM;04/04/2024
Campinorte;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Campo Alegre de Goiás;Estado;GEPIT/SGG;OPERANDO;VENCIDO;15/05/2022
Campos Belos de Goiás;Estado;GEPIT/SGG;OPERANDO;VENCIDO;30/12/2021
Campos Verdes;Particular;Ponto de Parada;OPERANDO;NÃO;–
Carmo do Rio Verde;Município;Prefeitura;OPERANDO;NÃO;–
Castelândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Catalão;Município;Prefeitura;OPERANDO;–;–
Caturaí;Estado;Prefeitura;OPERANDO;SIM;05/07/2034
Cavalcante;Município;Prefeitura;OPERANDO;–;–
Ceres;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Cezarina;Estado;Prefeitura*;OPERANDO;SIM;24/06/2034
Cocalzinho de Goiás;Município;Prefeitura;OPERANDO;–;–
Colinas do Sul;Município;Prefeitura;OPERANDO;–;–
Córrego do Ouro;Estado;GEPIT/SGG;OPERANDO;VENCIDO;12/04/2022
Corumbá de Goiás;Estado;GEPIT/SGG;OPERANDO;VENCIDO;15/05/2022
Corumbaíba;Estado;GEPIT/SGG;OPERANDO;SIM;02/05/2023
Cristalina;Município;Prefeitura;OPERANDO;–;–
Cristianópolis;Estado;GEPIT/SGG;OPERANDO;SIM;15/10/2024
Crixás;Município;Prefeitura;OPERANDO;NÃO;–
Cromínia;Estado;GEPIT/SGG;NÃO OPERA;VENCIDO;12/07/2022
Cumari;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Damianópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;19/05/2024
Damolândia;Município;Prefeitura;OPERANDO;–;–
Davinópolis;Estado;Prefeitura – Desativado;NÃO OPERA;NÃO;–
Diorama;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Divinópolis de Goiás;Estado;GEPIT/SGG;OPERANDO;SIM;19/05/2024
Doverlândia;Estado;GEPIT/SGG;OPERANDO;SIM;04/04/2024
Edéia;Município;Prefeitura;OPERANDO;–;–
Estrela do Norte;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Fazenda Nova;Estado;Prefeitura;OPERANDO;SIM;08/10/2031
Firminópolis;Estado;GEPIT/SGG;OPERANDO;SIM;13/04/2022
Formoso;Município;Prefeitura;OPERANDO;–;–
Goiandira;Estado;Prefeitura*;NÃO OPERA;SIM;26/07/2026
Goianésia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;02/06/2024
Goiânia;Estado;Maia e Borba Ltda. (MB Engenharia);OPERANDO;SIM;20/09/2028
Goiânia Sub-Terminal;Estado;Maia e Borba Ltda. (MB Engenharia);OPERANDO;SIM;21/09/2028
Goianira;Município;Prefeitura;OPERANDO;–;–
Goiás;Estado;GEPIT/SGG;OPERANDO;SIM;15/08/2022
Goiatuba;Município;Prefeitura;OPERANDO;–;–
Gouvelândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Heitoraí;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Hidrolina;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Iaciara;Estado;GEPIT/SGG;OPERANDO;VENCIDO;18/07/2023
Inaciolândia;Município;Prefeitura;OPERANDO;–;–
Indiara;Estado;Prefeitura (não administra);OPERANDO;NÃO;–
Inhumas;Estado;GEPIT/SGG;OPERANDO;NÃO;DEVOLVIDO
Ipameri;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Iporá;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Israelândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Itaberaí;Estado;GEPIT/SGG;OPERANDO;VENCIDO;02/08/2021
Itaguari;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Itaguaru;Estado;GEPIT/SGG;OPERANDO;VENCIDO;07/04/2024
Itajá;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Itapaci;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Itapirapuã;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Itapuranga;Estado;GEPIT/SGG;OPERANDO;VENCIDO;29/07/2023
Itarumã;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Itauçu;Estado;GEPIT/SGG;OPERANDO;VENCIDO;31/08/2022
Jandaia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;19/07/2023
Jaraguá;Estado;Prefeitura;OPERANDO;NÃO;22/10/2031
Jataí;Município;Prefeitura;OPERANDO;–;–
Jaupaci;Estado;GEPIT/SGG;OPERANDO;VENCIDO;28/04/2022
Joviânia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Jussara;Município;Prefeitura;OPERANDO;NÃO;–
Lagoa do Bauzinho (Distrito Rio Verde);Estado;GEPIT/SGG;OPERANDO;NÃO;–
Leopoldo de Bulhões;Estado;Assoc. Cultural e Assistencial-ACAMP;OPERANDO;SIM;INDETERM
Luziânia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Mambaí;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Mara Rosa;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Marzagão;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Maurilândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Messianópolis (Distrito de Moiporá);Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Minaçu;Estado;GEPIT/SGG;OPERANDO;SIM;20/11/2023
Mineiros;Município;Prefeitura;OPERANDO;–;–
Monte Alegre de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Montes Claros de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Morrinhos;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Morrinhos Sub-Terminal;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Morro Agudo de Goiás;Estado;Prefeitura – Desativado;OPERANDO;SIM;30/12/2021
Mossâmedes;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Mozarlândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Mundo Novo;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Nazário;Município;Prefeitura;OPERANDO;–;GUICHÊ
Nerópolis;Município;Prefeitura;OPERANDO;–;–
Niquelândia;Estado;Assoc. Comunitária de Bairros e Adjacentes;OPERANDO;NÃO;INDETERM
Nova América;Município;Prefeitura;OPERANDO;–;–
Nova Aurora;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Nova Crixás;Município;Prefeitura;OPERANDO;–;–
Nova Glória;Estado;GEPIT/SGG;NÃO OPERA;SIM;24/11/2024
Nova Iguaçu de Goiás;Particular;Particular;OPERANDO;–;–
Nova Veneza;Estado;GEPIT/SGG;OPERANDO;SIM;11/07/2022
Novo Brasil;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Orizona;Estado;GEPIT/SGG;OPERANDO;SIM;01/09/2022
Ouro Verde;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Ouvidor;Estado;SEDI;OPERANDO;NÃO;–
Padre Bernardo;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Palestina de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Palmeiras de Goiás;Município;Prefeitura;OPERANDO;NÃO;–
Palmelo;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Palminópolis;Estado;GEPIT/SGG;NÃO OPERA;SIM;14/04/2022
Panamá;Estado;GEPIT/SGG;NÃO OPERA;SIM;20/05/2024
Paranaiguara;Município;Prefeitura;OPERANDO;–;–
Paraúna;Estado;GEPIT/SGG;OPERANDO;SIM;10/12/2023
Petrolina de Goiás;Estado;GEPIT/SGG;NÃO OPERA;SIM;04/07/2023
Piracanjuba;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Piranhas;Município;Prefeitura;OPERANDO;–;–
Pirenópolis;Estado;Assoc. Romeiros da Stmª. Trindade Pireneus;OPERANDO;SIM;INDETERM
Pires do Rio;Estado;GEPIT/SGG;OPERANDO;SIM;01/09/2022
Planaltina;Município;Prefeitura;OPERANDO;–;–
Pontalina;Estado;GEPIT/SGG;OPERANDO;SIM;14/05/2023
Porangatu;Município;Prefeitura;OPERANDO;–;–
Portelândia;Estado;GEPIT/SGG;OPERANDO;SIM;20/05/2024
Posse;Estado;SGG/GEPIT;OPERANDO;NÃO;–
Professor Jamil Safady;Estado;Prefeitura*;OPERANDO;SIM;01/08/2033
Quirinópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;14/12/2021
Rialma;Município;Prefeitura;OPERANDO;–;–
Rianápolis;Estado;GEPIT/SGG;OPERANDO;SIM;08/12/2021
Rio Verde;Município;Prefeitura;OPERANDO;–;–
Riverlândia (Distrito Rio Verde);Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Rubiataba;Estado;GEPIT/SGG;OPERANDO;SIM;17/07/2023
Sanclerlândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santa Bárbara de Goiás;Estado;Prefeitura;OPERANDO;SIM;23/06/2032
Santa Cruz de Goiás;Particular;Particular;OPERANDO;–;–
Santa Fé de Goiás;Estado;GEPIT/SGG;OPERANDO;VENCIDO;01/09/2022
Santa Helena de Goiás;Município;Prefeitura;OPERANDO;–;–
Santa Isabel;Estado;GEPIT/SGG;NÃO OPERA;VENCIDO;16/05/2024
Santa Rosa de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santa Tereza de Goiás;Particular;Particular;OPERANDO;–;–
Santa Terezinha de Goiás;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santo Antônio da Barra;Município;Prefeitura*;OPERANDO;–;–
Santo Ant. Esperança (Dist. S. Cruz);Estado;GEPIT/SGG;OPERANDO;NÃO;–
Santo Antônio do Descoberto;Estado;GEPIT/SGG;OPERANDO;VENCIDO;25/07/2024
São Domingos;Estado;GEPIT/SGG;OPERANDO;NÃO;–
São Francisco de Goiás;Estado;GEPIT/SGG;MODIFICADO;VENCIDO;20/12/2021
São João d´Aliança;Estado;GEPIT/SGG;NÃO OPERA;VENCIDO;24/07/2023
São João da Paraúna;Estado;GEPIT/SGG;OPERANDO;VENCIDO;12/04/2022
São Luiz do Norte;Particular;Particular;OPERANDO;–;–
São Luiz dos Montes Belos;Particular;Particular;OPERANDO;–;–
São Miguel do Araguaia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;23/12/2021
São Simão;Município;Prefeitura;OPERANDO;–;–
Serranópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;13/12/2021
Silvânia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;10/07/2024
Simolândia;Estado;GEPIT/SGG;OPERANDO;VENCIDO;28/05/2024
Sítio d´Abadia;Estado;GEPIT/SGG;NÃO OPERA;–;FECHADO
Taquaral;Município;Prefeitura;OPERANDO;–;–
Três Ranchos;Estado;GEPIT/SGG;NÃO OPERA;NÃO;–
Trindade;Município;Prefeitura;OPERANDO;–;–
Trombas;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Turvelândia;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Uirapuru;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Uruaçu;Estado;GEPIT/SGG;OPERANDO;–;–
Uruana;Município;Prefeitura;OPERANDO;–;–
Urutaí;Estado;GEPIT/SGG;OPERANDO;NÃO;–
Varjão;Estado;GEPIT/SGG;OPERANDO;VENCIDO;14/08/2022
Vianópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;14/08/2022
Vicentinópolis;Estado;GEPIT/SGG;OPERANDO;VENCIDO;15/05/2023
